기간	행정구역	직업유형	합계	남자	여자
2015	강서구	전문가 및 관련종사자	71,563	38,308	33,255
2015	강서구	사무종사자	61,844	31,411	30,433
2015	강서구	서비스종사자	31,503	11,470	20,033
2015	강서구	판매종사자	38,767	20,384	18,383
2015	강서구	농림어업 숙련 종사자	504	376	128
2015	강서구	기능원 및 관련기능종사자	21,264	17,471	3,793
2015	강서구	장치기계조작 및 조립종사자	19,845	17,494	2,351
2015	강서구	단순노무종사자	26,981	15,595	11,386
2015	강서구	기타	452	444	8
2015	구로구	소계	204,936	118,886	86,050
2015	구로구	관리자	4,053	3,261	792
2015	구로구	전문가 및 관련종사자	53,348	28,865	24,483
2015	구로구	사무종사자	42,695	20,902	21,793
2015	구로구	서비스종사자	20,730	8,014	12,716
2015	구로구	판매종사자	26,926	14,996	11,930
2015	구로구	농림어업 숙련 종사자	162	114	48
2015	구로구	기능원 및 관련기능종사자	18,496	15,406	3,090
2015	구로구	장치기계조작 및 조립종사자	17,432	14,846	2,586
2015	구로구	단순노무종사자	20,991	12,393	8,598
2015	구로구	기타	103	89	14
2015	금천구	소계	119,876	69,752	50,124
2015	금천구	관리자	1,561	1,290	271
2015	금천구	전문가 및 관련종사자	24,555	13,859	10,696
2015	금천구	사무종사자	20,983	9,724	11,259
2015	금천구	서비스종사자	13,410	4,879	8,531
2015	금천구	판매종사자	14,604	7,486	7,118
2015	금천구	농림어업 숙련 종사자	103	77	26
2015	금천구	기능원 및 관련기능종사자	17,045	12,758	4,287
2015	금천구	장치기계조작 및 조립종사자	11,902	9,716	2,186
2015	금천구	단순노무종사자	15,286	9,548	5,738
2015	금천구	기타	427	415	12
2015	영등포구	소계	185,518	107,103	78,415
2015	영등포구	관리자	5,443	4,236	1,207
2015	영등포구	전문가 및 관련종사자	54,016	29,459	24,557
2015	영등포구	사무종사자	41,133	20,759	20,374
2015	영등포구	서비스종사자	18,251	7,743	10,508
2015	영등포구	판매종사자	24,279	13,635	10,644
2015	영등포구	농림어업 숙련 종사자	148	105	43
2015	영등포구	기능원 및 관련기능종사자	13,664	11,064	2,600
2015	영등포구	장치기계조작 및 조립종사자	10,092	8,782	1,310
2015	영등포구	단순노무종사자	17,516	10,405	7,111
2015	영등포구	기타	976	915	61
2015	동작구	소계	192,677	107,798	84,879
2015	동작구	관리자	5,481	4,263	1,218
2015	동작구	전문가 및 관련종사자	56,492	29,791	26,701
2015	동작구	사무종사자	44,347	22,370	21,977
2015	동작구	서비스종사자	19,907	8,075	11,832
2015	동작구	판매종사자	25,692	14,455	11,237
2015	동작구	농림어업 숙련 종사자	194	155	39
2015	동작구	기능원 및 관련기능종사자	13,177	10,517	2,660
2015	동작구	장치기계조작 및 조립종사자	9,049	7,833	1,216
2015	동작구	단순노무종사자	17,552	9,585	7,967
2015	동작구	기타	786	754	32
2015	관악구	소계	258,981	145,827	113,154
2015	관악구	관리자	5,914	4,451	1,463
2015	관악구	전문가 및 관련종사자	77,409	42,299	35,110
2015	관악구	사무종사자	49,292	22,509	26,783
2015	관악구	서비스종사자	29,538	12,557	16,981
2015	관악구	판매종사자	31,199	16,585	14,614
2015	관악구	농림어업 숙련 종사자	227	181	46
2015	관악구	기능원 및 관련기능종사자	22,135	17,084	5,051
2015	관악구	장치기계조작 및 조립종사자	14,861	13,136	1,725
2015	관악구	단순노무종사자	27,673	16,356	11,317
2015	관악구	기타	733	669	64
2015	서초구	소계	196,572	113,233	83,339
2015	서초구	관리자	9,571	7,642	1,929
2015	서초구	전문가 및 관련종사자	79,868	45,495	34,373
2015	서초구	사무종사자	47,946	25,774	22,172
2015	서초구	서비스종사자	15,498	6,290	9,208
2015	서초구	판매종사자	21,896	12,967	8,929
2015	서초구	농림어업 숙련 종사자	404	275	129
2015	서초구	기능원 및 관련기능종사자	6,095	4,734	1,361
2015	서초구	장치기계조작 및 조립종사자	4,946	4,338	608
2015	서초구	단순노무종사자	9,639	5,059	4,580
2015	서초구	기타	709	659	50
2015	강남구	소계	255,532	144,738	110,794
2015	강남구	관리자	15,264	12,026	3,238
2015	강남구	전문가 및 관련종사자	96,813	54,779	42,034
2015	강남구	사무종사자	57,487	31,557	25,930
